"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2019 00:00:00 - 01/01/2019 01:00:00","BZN|FI","Without Sequence","28.32","",""
"01/01/2019 01:00:00 - 01/01/2019 02:00:00","BZN|FI","Without Sequence","10.07","",""
"01/01/2019 02:00:00 - 01/01/2019 03:00:00","BZN|FI","Without Sequence","10.03","",""
"01/01/2019 03:00:00 - 01/01/2019 04:00:00","BZN|FI","Without Sequence","4.56","",""
"01/01/2019 04:00:00 - 01/01/2019 05:00:00","BZN|FI","Without Sequence","4.83","",""
"01/01/2019 05:00:00 - 01/01/2019 06:00:00","BZN|FI","Without Sequence","8.09","",""
"01/01/2019 06:00:00 - 01/01/2019 07:00:00","BZN|FI","Without Sequence","25.54","",""
"01/01/2019 07:00:00 - 01/01/2019 08:00:00","BZN|FI","Without Sequence","39.16","",""
"01/01/2019 08:00:00 - 01/01/2019 09:00:00","BZN|FI","Without Sequence","37.66","",""
"01/01/2019 09:00:00 - 01/01/2019 10:00:00","BZN|FI","Without Sequence","21.52","",""
"01/01/2019 10:00:00 - 01/01/2019 11:00:00","BZN|FI","Without Sequence","28.25","",""
"01/01/2019 11:00:00 - 01/01/2019 12:00:00","BZN|FI","Without Sequence","19.29","",""
"01/01/2019 12:00:00 - 01/01/2019 13:00:00","BZN|FI","Without Sequence","19.32","",""
"01/01/2019 13:00:00 - 01/01/2019 14:00:00","BZN|FI","Without Sequence","16.21","",""
"01/01/2019 14:00:00 - 01/01/2019 15:00:00","BZN|FI","Without Sequence","21.47","",""
"01/01/2019 15:00:00 - 01/01/2019 16:00:00","BZN|FI","Without Sequence","32.69","",""
"01/01/2019 16:00:00 - 01/01/2019 17:00:00","BZN|FI","Without Sequence","29.34","",""
"01/01/2019 17:00:00 - 01/01/2019 18:00:00","BZN|FI","Without Sequence","30.19","",""
"01/01/2019 18:00:00 - 01/01/2019 19:00:00","BZN|FI","Without Sequence","30.09","",""
"01/01/2019 19:00:00 - 01/01/2019 20:00:00","BZN|FI","Without Sequence","29.58","",""
"01/01/2019 20:00:00 - 01/01/2019 21:00:00","BZN|FI","Without Sequence","36.91","",""
"01/01/2019 21:00:00 - 01/01/2019 22:00:00","BZN|FI","Without Sequence","33.14","",""
"01/01/2019 22:00:00 - 01/01/2019 23:00:00","BZN|FI","Without Sequence","21.61","",""
"01/01/2019 23:00:00 - 02/01/2019 00:00:00","BZN|FI","Without Sequence","4.04","",""
"02/01/2019 00:00:00 - 02/01/2019 01:00:00","BZN|FI","Without Sequence","9.70","",""
"02/01/2019 01:00:00 - 02/01/2019 02:00:00","BZN|FI","Without Sequence","6.32","",""
"02/01/2019 02:00:00 - 02/01/2019 03:00:00","BZN|FI","Without Sequence","4.35","",""
"02/01/2019 03:00:00 - 02/01/2019 04:00:00","BZN|FI","Without Sequence","8.81","",""
"02/01/2019 04:00:00 - 02/01/2019 05:00:00","BZN|FI","Without Sequence","22.67","",""
"02/01/2019 05:00:00 - 02/01/2019 06:00:00","BZN|FI","Without Sequence","43.28","",""
"02/01/2019 06:00:00 - 02/01/2019 07:00:00","BZN|FI","Without Sequence","44.64","",""
"02/01/2019 07:00:00 - 02/01/2019 08:00:00","BZN|FI","Without Sequence","49.64","",""
"02/01/2019 08:00:00 - 02/01/2019 09:00:00","BZN|FI","Without Sequence","49.96","",""
"02/01/2019 09:00:00 - 02/01/2019 10:00:00","BZN|FI","Without Sequence","50.74","",""
"02/01/2019 10:00:00 - 02/01/2019 11:00:00","BZN|FI","Without Sequence","49.99","",""
"02/01/2019 11:00:00 - 02/01/2019 12:00:00","BZN|FI","Without Sequence","50.25","",""
"02/01/2019 12:00:00 - 02/01/2019 13:00:00","BZN|FI","Without Sequence","49.94","",""
"02/01/2019 13:00:00 - 02/01/2019 14:00:00","BZN|FI","Without Sequence","49.97","",""
"02/01/2019 14:00:00 - 02/01/2019 15:00:00","BZN|FI","Without Sequence","50.93","",""
